tag,name,type,clanScore,members,requiredTrophies
#PGCVGR2V,#50 MD,open,92110,50,4300
#GLGVYP98,$TEHAS$,open,92785,43,8000
#LYRRCGLU,(Moldova Pro's),open,97747,50,8000
#PVUP8JG,-4Ever Kings-,open,97694,43,9500
#88R2RLJY,-_Грешники_-,open,99945,50,10000
#J2L0GR0V,....,open,5900,4,2000
#RRRG8880,100LIKI,open,6274,2,5000
#GLUUCC20,13 Район,open,86895,50,6000
#QCRL9YCR,2023,open,100000,50,10000
#GCGYQV2Q,2v2 capriori,open,93244,47,9000
#RQ8L9GRU,4puli,inviteOnly,29567,8,0
#GL9YUJLU,67,open,75978,29,9500
#GV90YUR2,777,open,23808,6,0
#G82J0V2Y,7RII’S CLAN,open,11452,6,2300
#88RLVQJR,AcademyBestClan,open,83310,28,9000
#GQLLVRR0,Active Moldova,open,86899,49,7000
#R0P2UGQ2,AGVA,inviteOnly,11571,4,0
#QCGPQQYL,albișoara power,inviteOnly,99028,49,8000
#PJ2PLJQU,AlienMD,open,78763,50,0
#GU8R8PYR,Anenii Vechi,open,89732,43,9000
#R0YUJ90J,Anti Cl.XI-B,open,85367,45,7000
#G2VQ2VLQ,Armaga,open,89592,48,7500
#Y0QP9QUQ,Assassins ™,open,96851,50,8000
#Q8UCL0JC,Baietii Educati,open,95056,49,9000
#GP99P0YU,balkani,inviteOnly,4027,2,1000
#GQ0JRYR0,Barbarii,open,92442,50,7500
#QLJGVC2Y,Basota,open,95855,49,8000
#G9V0QJP8,Basota,open,80513,46,4000
#GY8RVLJV,Basota AYF,open,44665,10,8000
#QU8R299C,bebra,open,92029,45,7500
#G9Y0GJJ9,bender power,open,74768,39,6000
#YJ0GULQJ,Best Fighter,open,87450,44,7500
#9LQGRQV2,BestClanMoldova,open,98007,50,8000
#GP0G8VPU,Blood Riders,open,99987,50,10000
#QC9PQJ9L,Bort4 Curulu1,open,98825,50,0
#22JPU9LQ,Botanica.md,open,98981,48,9000
#LJC90J2Y,Boys.Hub.2,open,93917,50,6500
#R8J22PC2,Breasla Vikingi,open,90198,50,6000
#GY80V88L,bro’s clan,open,12539,6,0
#QCURRYQQ,buiucani NR1,open,60347,19,5000
#G9CGU80Q,Burca City,open,74188,44,3000
#LPQQPQPQ,butc,open,93333,49,7500
#Q0CLY9CQ,cab de mate,open,96594,46,10000
#RJRLQR0Y,Californiaaa,closed,6870,2,10000
#GPJUR8JG,Camera 44,open,48114,21,5000
#PGYYRLLY,CEADIR DOLAYI,open,96237,50,7000
#GRYRRVR8,CEMF Teh. Dent.,open,1315,1,0
#GPQ9PQGL,Chess-Royal,inviteOnly,3895,3,300
#RUU9LJ02,Chill guys,open,36110,14,0
#YY8V9J08,chisinau md,open,92031,49,5300
#R9YLYC8R,Chişinău,open,99685,50,10000
#UYR89Q,ChocolateEMPIRE,open,98413,50,8000
#LL2088VL,Chudaki,open,99158,49,10000
#LUQV9R9G,CIAO PERSIC,open,98370,50,9000
#QPLV88J9,Circus,inviteOnly,99700,49,10000
#GL9VPJUL,Circus Dynasty,inviteOnly,98143,47,9000
#R2U2J9Q9,ClanuCiocan,open,95687,44,8500
#209U0RLQ,Clash . MD,open,97844,50,7500
#GQ2V8P99,Clash Masters,open,27197,10,2000
#GCVRLYYL,Clash Royal fan,open,25016,10,3000
#QUUJGCPY,Clash Royale ||,open,24316,8,0
#J0UJL89U,cls 6,inviteOnly,7538,5,1000
#Q80U9P2J,Cojusna Aue,open,100000,50,10000
#G08CLG99,CP Company,open,95901,47,9000
#PL9YYV2Y,Cubik's MD,open,99735,50,10000
#QYG0R8YQ,CUR PAROS,open,99565,50,9000
#R89J0QRJ,dabingbros,inviteOnly,2878,2,1000
#GLUCYQJL,Dark Skiper,open,95581,45,8500
#GURLGRPG,DaunElit,open,56811,18,4000
#22JUUGP,Deneopr337,open,95074,45,8000
#LC8V99L8,Destveniki,open,97381,50,8000
#GY0UJ8YL,doar moldoveni,open,6650,3,1000
#YV8C2LRV,DRAIFE,open,93809,50,6000
#82CRRVYY,Eagles Moldova,open,97429,50,8000
#QY090JQR,elba squad,open,94992,39,8000
#G809RR02,Elita Moldovei,open,57639,17,5000
#GJCGYV0J,ELITE MD,open,87199,49,7000
#L8P2JJ9P,EsportMoldova,open,97086,50,8500
#QUYQP9RQ,ETHE Legion,open,88076,41,3600
#QC2V2GP0,ETM/\подвальчик,open,95240,49,7500
#RJRPRL0P,Falcons,open,60316,15,7000
#QV8R80R9,FC Cahul,open,97160,49,9000
#QVJ0ULYU,FC Club,open,28495,14,0
#GLJL9G9P,Fear Us,open,82793,44,7000
#QJ9Q20Y2,FearLess Team,open,99941,50,10000
#GQQY22QR,Feniks,open,7487,4,2000
#QUY020C8,Free Fire MD,open,97346,43,8000
#RJRJ82RP,FREUND,open,8059,2,4000
#QVC29C0U,fumatorii,open,93247,45,8000
#R2YQ0C9G,gachi club,open,79818,50,2000
#RG9G0YUU,GAGAUZ LAND,open,91221,47,5000
#8YYJJRVV,Gagauz Vatani,open,94553,48,7000
#LRLYQCVQ,Gaming Elita,open,98751,50,8000
#Q0CLLG2L,GamÊRS,open,95899,43,9000
#GGG9YRGR,Ghena_Buda,open,52316,18,300
#QCJGGCQP,Ghostlegasy,open,97497,50,9000
#LLYJYLL0,Giulbass.MD,open,77128,50,4600
#QYYC9RP2,GloryMd,open,98795,50,8500
#GP0QYY9L,Gonerii,open,24001,11,2000
#G2LGLQQP,gryt,inviteOnly,28143,7,0
#RV2CL800,GuraCăinarului,open,35180,9,0
#P9U2JYVL,Găuzeni Royal,open,98880,50,8500
#QLCY88PU,Hai la luptă,open,94880,40,7500
#QG2PVLGV,hai la pula,open,94393,50,6000
#QVQR9VJV,hai la pula,open,89890,50,4000
#L9U8GV,HAiDUCii MD ™,inviteOnly,99400,48,10000
#8922J2LC,Haiducii ™4ever,open,99345,50,8500
#Q0UP2CVU,HaiduciiAcademy,open,93100,48,6000
#YQ9YRGP2,HaiduciiLegacy,open,100000,50,10000
#QCP8YCP0,hellomyfriend,open,92556,50,2000
#G098Y0VJ,hesoyam228,open,41406,11,0
#G9VRCRJV,Hybrid,open,87101,50,5500
#QYR2L2PG,I.MD,open,94004,44,8000
#YJV90PRP,Ignăței City,open,99251,50,10000
#YLJQRRGJ,iMmortals MD,open,97978,50,8000
#QVYCC0YP,imperia,open,92930,50,5000
#R2GY8UGR,jonny ПМР,open,83643,50,5000
#G2GL90YL,KaSh_RR,open,8785,2,7000
#G0PYUC99,KinderMD,open,93258,49,8000
#8GC2UQLR,King Moldova,open,99859,50,9500
#8VP8JJQL,KING MOLDOVA MD,open,99941,50,9500
#QCRUR9QQ,Knight's Legion,open,98239,50,8500
#QJYJJJPG,Knight’s Legion,open,100000,50,10000
#GC822JY0,L.I.M.P.S,open,87613,50,5000
#88LYUC2Y,LCM(MD),inviteOnly,67297,22,6000
#R2Q8V20P,LeonFFBNL,inviteOnly,1633,2,1000
#R2Y9L9PR,Lâjnișii,open,99900,50,9500
#QL202RJY,MAFIA.MD,open,96943,50,8000
#QGU9P9VG,Mafioznici,open,92788,50,5000
#LYRJVR2J,Mak puișor,open,88465,49,6000
#RCY98JPV,MD *Fire*,open,13786,6,0
#QVQRLU8R,MD Avengers,open,74044,25,7500
#Y8QGVV2C,MD Empire 2.0,open,94100,45,7000
#Q2GC80P8,MD Fortress,open,97894,50,7000
#QJ2L0Y0C,md game,open,35044,9,5000
#8VUYJY20,MD LEGENDARY,open,92597,50,7500
#G9CG20R9,MD# Chișinău,open,95278,49,7000
#GRY0R9VJ,MD-Team,open,95967,47,5000
#QLVRGU8L,MD_ZEUS,open,90037,50,5000
#GYRUCU20,MD•EMPIRE,open,6348,2,2000
#YJ9PJP0R,memdom.md,open,86837,41,5000
#LVQPYGU2,Metadon | ~ MD,open,87286,35,10000
#2PQU9RVY,Metal,open,99770,50,9500
#80JRLYUY,Moldavian Bool$,open,87128,50,4000
#G9JCGR9Y,Moldawian Reich,open,87772,48,3000
#QCJGLVG2,Moldova,open,100000,50,10000
#Y20Y908,Moldova,open,99993,50,10000
#CUQCGGV,MoLdOvA,open,99787,50,8000
#QCJCR8QC,Moldova,open,99733,50,9500
#PG289QQ,Moldova,open,98827,50,9000
#Q99JRRP8,Moldova,open,98723,50,9000
#L90YJQGV,MOLDOVA,open,98333,50,8000
#QLYVPP0Y,Moldova,open,97170,50,7500
#QY0PYUP0,Moldova,open,95274,40,9500
#LVLJRGY8,Moldova,open,85805,30,8500
#RY28GQYL,Moldova,open,82391,28,8500
#RLCVPCGL,MOLDOVA,open,81950,39,8000
#QLPLVV0Y,Moldova,open,76316,46,8000
#RPVV8YPR,Moldova,open,74896,49,1600
#R2V8PLQR,moldova,open,896,2,300
#QCQ28LJY,Moldova academy,open,85352,47,4600
#RYCV08GP,MOLDOVA BOYS,open,99942,50,10000
#QVVLYQUP,Moldova eSports,open,97329,49,8500
#YV9JRCP9,Moldova Family,open,99183,50,9500
#LQVLGG,Moldova League,open,88464,47,3000
#GC2CLYUQ,Moldova Nafic,open,69674,49,5500
#YL2GVYCG,Moldova On,open,64388,28,4000
#G2CUPL82,Moldova peppers,open,88640,33,9000
#QULQJL8L,Moldova Power,open,93194,48,8500
#GLG2CPRJ,Moldova Sigma,open,4800,3,0
#RYGU2QJC,Moldova Team,open,92592,50,6000
#29QJPV,Moldova ™,open,12738,3,600
#QRQ2QJJQ,moldova!,open,100000,50,10000
#LPQYV2GY,MOLDOVA(MD),open,99849,50,10000
#QQJU9RY9,MoldovaHub,open,99510,50,9500
#PVCU222Y,MoldovaN >Team,open,99060,50,9500
#LLP9J9L9,MoldovaPatani,open,97613,47,9500
#9V9UJQLY,MoldovaPlay,open,95741,49,8000
